ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
01A,"Afognak Lake, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
1G4,"Peach Springs, AZ",GCN,"Grand Canyon, AZ"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",DQS,"Whitmore, AZ"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
2AK,"Deer Park, AK",SIT,"Sitka, AK"
2AK,"Deer Park, AK",PTD,"Port Alexander, AK"
2NC,"Asheboro, NC",MXE,"Maxton, NC"
2NC,"Asheboro, NC",MXE,"Maxton, NC"
3TN,"Elizabethon, TN",DAL,"Dallas, TX"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",CDB,"Cold Bay, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
A01,"Fairbanks/Ft. Wainwright, AK",FAI,"Fairbanks, AK"
A04,"Red Lake, AK",A43,"Kodiak Island, AK"
A04,"Red Lake, AK",KKL,"Karluk Lake, AK"
A1K,"Deadhorse1, AK",A1K,"Deadhorse1, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",ANC,"Anchorage, AK"
A27,"Pogo Mines, AK",FAI,"Fairbanks, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A34,"Laura Lake, AK",A43,"Kodiak Island, AK"
A34,"Laura Lake, AK",A34,"Laura Lake, AK"
A34,"Laura Lake, AK",A43,"Kodiak Island, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",KPR,"Port Williams, AK"
